movie,year,imdb,metascore,votes,description
Coyote Ugly,(2000),5.7,27        ,115235,"
Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell."
Gladiator,(2000),8.5,67        ,1475951,"
A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery."
Memento,(2000),8.4,80        ,1222326,"
A man with short-term memory loss attempts to track down his wife's murderer."
Snatch,(2000),8.3,55        ,846515,"
Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
Requiem for a Dream,(2000),8.3,68        ,831636,"
The drug-induced utopias of four Coney Island people are shattered when their addictions run deep."
X-Men,(2000),7.3,64        ,611067,"
In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men."
American Psycho,(2000),7.6,64        ,592734,"
A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
Cast Away,(2000),7.8,73        ,584963,"
A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island."
Unbreakable,(2000),7.3,62        ,415162,"
A man learns something extraordinary about himself after a devastating accident."
Mission: Impossible II,(2000),6.1,59        ,340643,"
IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera""."
Meet the Parents,(2000),7.0,73        ,333250,"
Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare."
"O Brother, Where Art Thou?",(2000),7.7,69        ,309994,"
In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
Gone in 60 Seconds,(2000),6.5,35        ,277807,"
A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life."
Almost Famous,(2000),7.9,90        ,274933,"
A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour."
The Patriot,(2000),7.2,63        ,273822,"
Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son."
"Crouching Tiger, Hidden Dragon",(2000),7.9,94        ,268321,"
A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation."
Scary Movie,(2000),6.2,48        ,259006,"
A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer."
Final Destination,(2000),6.7,36        ,252874,"
Alex Browning is among a group of high school students readying themselves for a trip to Europe. When he suddenly has a premonition their airplane will crash, he screams to warn the others but instead he is thrown off of the plane along others, but the plane actually crashes after they get off. Weeks later one of the survivors mysteriously dies, and Alex realizes that things just got more complex."
How the Grinch Stole Christmas,(2000),6.2,46        ,243119,"
On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town."
Amores perros,(2000),8.1,83        ,239384,"
A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
Pitch Black,(2000),7.1,49        ,239195,"
A transport ship crashes and leaves its crew stranded on a desert planet inhabited by bloodthirsty creatures that come out during an eclipse."
The Beach,(I) (2000),6.6,43        ,238609,"
On vacation in Thailand, Richard sets out for an island rumored to be a solitary beach paradise."
"Me, Myself & Irene",(2000),6.6,49        ,237168,"
A nice-guy cop with Dissociative Identity Disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates."
Remember the Titans,(2000),7.8,48        ,214423,"
The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit."
Miss Congeniality,(2000),6.3,43        ,208817,"
An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event."
What Women Want,(2000),6.4,47        ,207553,"
A cocky, chauvinistic advertising executive magically acquires the ability to hear what women are thinking."
Traffic,(2000),7.6,86        ,207162,"
A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business."
The Emperor's New Groove,(2000),7.4,70        ,202066,"
Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder."
Erin Brockovich,(2000),7.4,73        ,196589,"
An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply."
Chocolat,(2000),7.3,64        ,191293,"
A French woman and her young daughter open up a chocolate shop in a small remote village that shakes up the rigid morality of the community."
Chicken Run,(2000),7.1,88        ,191164,"
When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners."
Charlie's Angels,(2000),5.6,52        ,187035,"
Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal."
Battle Royale,(2000),7.6,81        ,182455,"
In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act."
High Fidelity,(2000),7.4,79        ,179898,"
Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress."
Road Trip,(2000),6.5,55        ,169296,"
Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend."
The Perfect Storm,(2000),6.4,59        ,167537,"
An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger."
In the Mood for Love,(2000),8.1,85        ,147768,"
Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
Scream 3,(2000),5.6,56        ,142445,"
While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them."
"Dude, Where's My Car?",(2000),5.5,30        ,140088,"
Two potheads wake up after a night of partying and cannot remember where they parked their car."
Billy Elliot,(2000),7.7,74        ,134762,"
A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family."
Hollow Man,(2000),5.8,24        ,131438,"
A brilliant scientist's discovery renders him invisible, but transforms him into an omnipotent, dangerous megalomaniac."
Shanghai Noon,(2000),6.6,77        ,127329,"
A Chinese man travels to the Wild West to rescue a kidnapped Princess. After teaming up with a train robber, the unlikely duo takes on a Chinese traitor and his corrupt boss."
What Lies Beneath,(2000),6.6,51        ,126017,"
The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind."
The 6th Day,(2000),5.9,49        ,122604,"
A man meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world."
The Whole Nine Yards,(2000),6.7,47        ,121280,"
A struggling dentist's life is turned upside down when a famous gangster moves in next door, and his wife convinces him to inform a notorious mob boss about the gangster's whereabouts."
Pay It Forward,(2000),7.2,40        ,119216,"
A young boy attempts to make the world a better place after his teacher gives him that chance."
Men of Honor,(2000),7.2,56        ,116901,"
The story of Carl Brashear, the first African-American U.S. Navy Diver, and the man who trained him."
Coyote Ugly,(2000),5.7,27        ,115235,"
Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell."
Gladiator,(2000),8.5,67        ,1475951,"
A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery."
Memento,(2000),8.4,80        ,1222326,"
A man with short-term memory loss attempts to track down his wife's murderer."
Snatch,(2000),8.3,55        ,846515,"
Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
Requiem for a Dream,(2000),8.3,68        ,831636,"
The drug-induced utopias of four Coney Island people are shattered when their addictions run deep."
X-Men,(2000),7.3,64        ,611067,"
In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men."
American Psycho,(2000),7.6,64        ,592734,"
A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
Cast Away,(2000),7.8,73        ,584963,"
A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island."
Unbreakable,(2000),7.3,62        ,415162,"
A man learns something extraordinary about himself after a devastating accident."
Mission: Impossible II,(2000),6.1,59        ,340643,"
IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera""."
Meet the Parents,(2000),7.0,73        ,333250,"
Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare."
"O Brother, Where Art Thou?",(2000),7.7,69        ,309994,"
In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
Gone in 60 Seconds,(2000),6.5,35        ,277807,"
A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life."
Almost Famous,(2000),7.9,90        ,274933,"
A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour."
The Patriot,(2000),7.2,63        ,273822,"
Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son."
"Crouching Tiger, Hidden Dragon",(2000),7.9,94        ,268321,"
A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation."
Scary Movie,(2000),6.2,48        ,259006,"
A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer."
Final Destination,(2000),6.7,36        ,252874,"
Alex Browning is among a group of high school students readying themselves for a trip to Europe. When he suddenly has a premonition their airplane will crash, he screams to warn the others but instead he is thrown off of the plane along others, but the plane actually crashes after they get off. Weeks later one of the survivors mysteriously dies, and Alex realizes that things just got more complex."
How the Grinch Stole Christmas,(2000),6.2,46        ,243119,"
On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town."
Amores perros,(2000),8.1,83        ,239384,"
A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
Pitch Black,(2000),7.1,49        ,239195,"
A transport ship crashes and leaves its crew stranded on a desert planet inhabited by bloodthirsty creatures that come out during an eclipse."
The Beach,(I) (2000),6.6,43        ,238609,"
On vacation in Thailand, Richard sets out for an island rumored to be a solitary beach paradise."
"Me, Myself & Irene",(2000),6.6,49        ,237168,"
A nice-guy cop with Dissociative Identity Disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates."
Remember the Titans,(2000),7.8,48        ,214423,"
The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit."
Miss Congeniality,(2000),6.3,43        ,208817,"
An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event."
What Women Want,(2000),6.4,47        ,207553,"
A cocky, chauvinistic advertising executive magically acquires the ability to hear what women are thinking."
Traffic,(2000),7.6,86        ,207162,"
A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business."
The Emperor's New Groove,(2000),7.4,70        ,202066,"
Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder."
Erin Brockovich,(2000),7.4,73        ,196589,"
An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply."
Chocolat,(2000),7.3,64        ,191293,"
A French woman and her young daughter open up a chocolate shop in a small remote village that shakes up the rigid morality of the community."
Chicken Run,(2000),7.1,88        ,191164,"
When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners."
Charlie's Angels,(2000),5.6,52        ,187035,"
Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal."
Battle Royale,(2000),7.6,81        ,182455,"
In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act."
High Fidelity,(2000),7.4,79        ,179898,"
Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress."
Road Trip,(2000),6.5,55        ,169296,"
Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend."
The Perfect Storm,(2000),6.4,59        ,167537,"
An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger."
In the Mood for Love,(2000),8.1,85        ,147768,"
Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
Scream 3,(2000),5.6,56        ,142445,"
While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them."
"Dude, Where's My Car?",(2000),5.5,30        ,140088,"
Two potheads wake up after a night of partying and cannot remember where they parked their car."
Billy Elliot,(2000),7.7,74        ,134762,"
A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family."
Hollow Man,(2000),5.8,24        ,131438,"
A brilliant scientist's discovery renders him invisible, but transforms him into an omnipotent, dangerous megalomaniac."
Shanghai Noon,(2000),6.6,77        ,127329,"
A Chinese man travels to the Wild West to rescue a kidnapped Princess. After teaming up with a train robber, the unlikely duo takes on a Chinese traitor and his corrupt boss."
What Lies Beneath,(2000),6.6,51        ,126017,"
The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind."
The 6th Day,(2000),5.9,49        ,122604,"
A man meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world."
The Whole Nine Yards,(2000),6.7,47        ,121280,"
A struggling dentist's life is turned upside down when a famous gangster moves in next door, and his wife convinces him to inform a notorious mob boss about the gangster's whereabouts."
Pay It Forward,(2000),7.2,40        ,119216,"
A young boy attempts to make the world a better place after his teacher gives him that chance."
Men of Honor,(2000),7.2,56        ,116901,"
The story of Carl Brashear, the first African-American U.S. Navy Diver, and the man who trained him."
